"Game","Steam link","Game website","Developer","Publisher"
"The Lab","http://store.steampowered.com/app/450390/","http://store.steampowered.com/news/?appids=450390","Valve",""
"Waltz of the Wizard","http://store.steampowered.com/app/436820/","http://aldindynamics.com/","Aldin Dynamics",""
"Rec Room","http://store.steampowered.com/app/471710/","http://www.againstgrav.com/","Against Gravity",""
"Accounting","http://store.steampowered.com/app/518580/","http://accountingvr.com/","Crows Crows Crows",""
"Google Earth VR","http://store.steampowered.com/app/348250/","https://vr.google.com/earth","Google",""
"Space Pirate Trainer","http://store.steampowered.com/app/418650/","http://spacepiratetrainer.com/","I-Illusions",""
"Hot Dogs, Horseshoes & Hand Grenades","http://store.steampowered.com/app/450540/","http://hotdogshorseshoesandhandgrenades.com/","RUST LTD.",""
"Vanishing Realmsâ„¢","http://store.steampowered.com/app/322770/","http://www.vanishingrealms.com/","Indimo Labs LLC",""
"Thumper","http://store.steampowered.com/app/356400/","http://thumpergame.com/","Drool",""
"Lazerbait","http://store.steampowered.com/app/529150/","http://store.steampowered.com/news/?appids=529150","Taylor Stapleton",""
"Tilt Brush","http://store.steampowered.com/app/327140/","https://g.co/tiltbrush","Google",""
"Cosmic Sugar VR","http://store.steampowered.com/app/559010/","http://www.dlobser.com/Cosmic-Sugar","David Lobser",""
"Climbey","http://store.steampowered.com/app/520010/","http://store.steampowered.com/news/?appids=520010","Brian Lindenhof","ShadowBrain Games"
"SoundStage","http://store.steampowered.com/app/485780/","http://www.soundstagevr.com/","Hard Light Labs",""
"The Body VR","http://store.steampowered.com/app/451980/","http://thebodyvr.com/","The Body VR LLC",""
"Quell 4D","http://store.steampowered.com/app/534230/","http://quell4d.com/","Rubycone",""